,,,{uniform;explicit;math},
from_asset,to_asset,rep_period,specification,partition
NL_Battery,NL_E_Balance,1,uniform,4
NL_E_Balance,NL_Battery,1,uniform,4
NL_Wind_Onshore,NL_E_Balance,1,uniform,4
NL_Wind_Offshore,NL_E_Balance,1,uniform,4
NL_Solar,NL_E_Balance,1,uniform,4
NL_Gas,NL_E_Balance,1,uniform,4
NL_OCGT,NL_E_Balance,1,uniform,4
NL_E_Balance,NL_E_Demand,1,uniform,4
NL_E_Balance,BE_E_Balance,1,uniform,4
BE_E_Balance,NL_E_Balance,1,uniform,4
BE_Battery,BE_E_Balance,1,uniform,4
BE_E_Balance,BE_Battery,1,uniform,4
BE_Wind_Onshore,BE_E_Balance,1,uniform,4
BE_Wind_Offshore,BE_E_Balance,1,uniform,4
BE_Solar,BE_E_Balance,1,uniform,4
BE_Gas,BE_E_Balance,1,uniform,4
BE_OCGT,BE_E_Balance,1,uniform,4
BE_E_Balance,BE_E_Demand,1,uniform,4
BE_Hydro,BE_E_Balance,1,uniform,4
BE_Pump_Hydro,BE_E_Balance,1,uniform,4
BE_E_Balance,BE_Pump_Hydro,1,uniform,4
DE_E_Balance,NL_E_Balance,1,uniform,4
DE_E_Balance,BE_E_Balance,1,uniform,4
DE_E_Balance,DE_E_Demand,1,uniform,4
DE_E_Balance,DE_Battery,1,uniform,4
DE_Battery,DE_E_Balance,1,uniform,4
DE_Wind_Onshore,DE_E_Balance,1,uniform,4
DE_Wind_Offshore,DE_E_Balance,1,uniform,4
DE_Solar,DE_E_Balance,1,uniform,4
DE_Gas,DE_E_Balance,1,uniform,4
DE_OCGT,DE_E_Balance,1,uniform,4
DE_Hydro,DE_E_Balance,1,uniform,4
DE_Pump_Hydro_Open_Inflow,DE_Pump_Hydro_Open,1,uniform,4
DE_Pump_Hydro_Open,DE_E_Balance,1,uniform,4
DE_E_Balance,DE_Pump_Hydro_Open,1,uniform,4
DE_Hydro_Reservoir,DE_E_Balance,1,uniform,4
DE_Pump_Hydro_Closed,DE_E_Balance,1,uniform,4
DE_E_Balance,DE_Pump_Hydro_Closed,1,uniform,4
DE_Hydro_Reservoir_Inflow,DE_Hydro_Reservoir,1,uniform,4
FR_E_Balance,DE_E_Balance,1,uniform,4
FR_E_Balance,BE_E_Balance,1,uniform,4
FR_E_Balance,FR_E_Demand,1,uniform,4
FR_Wind_Onshore,FR_E_Balance,1,uniform,4
FR_Wind_Offshore,FR_E_Balance,1,uniform,4
FR_Solar,FR_E_Balance,1,uniform,4
FR_Gas,FR_E_Balance,1,uniform,4
FR_Hydro,FR_E_Balance,1,uniform,4
FR_Nuclear,FR_E_Balance,1,uniform,4
FR_OCGT,FR_E_Balance,1,uniform,4
FR_Pump_Hydro_Open,FR_E_Balance,1,uniform,4
FR_E_Balance,FR_Pump_Hydro_Open,1,uniform,4
FR_Hydro_Reservoir,FR_E_Balance,1,uniform,4
FR_Hydro_Reservoir_Inflow,FR_Hydro_Reservoir,1,uniform,4
FR_Pump_Hydro_Closed,FR_E_Balance,1,uniform,4
FR_E_Balance,FR_Pump_Hydro_Closed,1,uniform,4
DK_Wind_Onshore,DK_E_Balance,1,uniform,4
DK_Wind_Offshore,DK_E_Balance,1,uniform,4
DK_Solar,DK_E_Balance,1,uniform,4
